# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 225  of event 'cycles:u'
# Event count (approx.): 878272912
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    15.28%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    11.80%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    10.51%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     9.33%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
     7.78%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     7.26%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     4.84%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     4.58%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     4.15%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b431c0
     4.15%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b451dc
     1.56%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b44280
     1.56%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     1.35%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     1.03%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b43224
     1.03%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b4418c
     1.03%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b46254
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b43178
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b44250
     0.52%  sqgi     sqgi                   [.] SQUserData::Release
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b441bc
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b451b0
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b45200
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b451d0
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b4413c
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b45194
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b4425c
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b431dc
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b45184
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b461d0
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b43194
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b431e4
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b44240
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b442a0
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b43200
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b44194
     0.52%  sqgi     [JIT] tid 737868       [.] 0x0000ffff84b4320c


#
# (Cannot load tips.txt file, please install perf!)
#
