# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 6346928051
#
# Overhead  Command  Shared Object     Symbol                                         
# ........  .......  ................  ...............................................
#
    22.64%  sqgi     [JIT] tid 727250  [.] rotate_buffers_v28_body
    13.23%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     8.78%  sqgi     sqgi              [.] SQJitWriteLog::CanReleaseInContext
     6.55%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     6.40%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     6.14%  sqgi     [JIT] tid 727250  [.] rotate_buffers_v28_shared_helper
     5.56%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     4.59%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.33%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     4.03%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     3.65%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)29, false>
     3.06%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)15, false>
     2.57%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     2.32%  sqgi     sqgi              [.] SQVM::ObjCmp
     1.76%  sqgi     sqgi              [.] SQVM::IsFalse
     1.40%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     1.23%  sqgi     sqgi              [.] SQVM::IsEqual
     0.94%  sqgi     sqgi              [.] SQVM::CMP_OP
     0.51%  sqgi     sqgi              [.] sqjit_a64_precise_step<(SQOpcode)30, false>
     0.32%  sqgi     sqgi              [.] sq_nativeclosure_is_default_len


#
# (Cannot load tips.txt file, please install perf!)
#
