# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 570  of event 'cycles:u'
# Event count (approx.): 2432415086
#
# Overhead  Command  Shared Object               Symbol                                        
# ........  .......  ..........................  ..............................................
#
    16.62%  sqgi     sqgi                        [.] SQVM::Execute
    14.51%  sqgi     sqgi                        [.] SQJitWriteLog::RecordMember
     5.15%  sqgi     sqgi                        [.] sqjit_a64_helper_member_set_integer_logged
     5.04%  sqgi     sqgi                        [.] sqjit_a64_helper_array_get_object
     5.02%  sqgi     sqgi                        [.] sqjit_a64_root_fallback_safe
     4.87%  sqgi     sqgi                        [.] SQTable::Get
     3.24%  sqgi     sqgi                        [.] sqjit_a64_borrow_member_ptr_value
     2.58%  sqgi     sqgi                        [.] SQJitWriteLog::CanRelease
     1.79%  sqgi     [JIT] tid 724904            [.] 0x0000ffff91768214
     1.69%  sqgi     sqgi                        [.] SQTable::Set
     1.50%  sqgi     sqgi                        [.] SQVM::Get
     1.48%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b2dc
     1.31%  sqgi     [JIT] tid 724904            [.] 0x0000ffff917681a0
     0.94%  sqgi     sqgi                        [.] SQVM::DerefInc
     0.94%  sqgi     sqgi                        [.] SQVM::Set
     0.91%  sqgi     [JIT] tid 724904            [.] 0x0000ffff917683b0
     0.89%  sqgi     sqgi                        [.] sqjit_a64_helper_member_closure_guard
     0.75%  sqgi     sqgi                        [.] sqjit_try_execute_current_loop
     0.75%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b1d4
     0.75%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176a348
     0.75%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b2e4
     0.75%  sqgi     sqgi                        [.] SQVM::FallBackGet
     0.75%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b2b0
     0.73%  sqgi     sqgi                        [.] sqjit_write_log_ensure
     0.56%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176935c
     0.56%  sqgi     sqgi                        [.] SQVM::CMP_OP
     0.56%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176840c
     0.56%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176865c
     0.56%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b194
     0.56%  sqgi     sqgi                        [.] SQVM::ARITH_OP
     0.55%  sqgi     [JIT] tid 724904            [.] 0x0000ffff917682f0
     0.53%  sqgi     [JIT] tid 724904            [.] 0x0000ffff9176b238


#
# (Cannot load tips.txt file, please install perf!)
#
