# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183  of event 'cycles:u'
# Event count (approx.): 745935118
#
# Overhead  Command  Shared Object          Symbol                   
# ........  .......  .....................  .........................
#
     8.56%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d90c
     7.34%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d690
     6.71%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95c1e4
     5.51%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d764
     5.10%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95f164
     4.28%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d838
     3.67%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d5bc
     3.66%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95a2a0
     3.66%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b198
     3.06%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d4e8
     3.05%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c959164
     2.45%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d414
     2.44%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e53c
     2.41%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e540
     1.83%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b1ec
     1.83%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95a164
     1.82%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e244
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d474
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c9591e0
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d370
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e4c4
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95c194
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95a1e0
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d7c4
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95921c
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b24c
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e3ec
     1.22%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e3f4
     1.21%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e464
     0.75%  sqgi     ld-linux-aarch64.so.1  [.] do_lookup_x
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d38c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d40c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e468
     0.61%  sqgi     sqgi                   [.] SQStringTable::Remove
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b154
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95c204
     0.61%  sqgi     sqgi                   [.] native_sqrt
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b20c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b14c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95d8b8
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b32c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e448
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c9591c4
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95a284
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b148
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95c18c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95925c
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c9591f8
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e528
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95c2d8
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95a264
     0.61%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95b184
     0.59%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e320
     0.59%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e384
     0.59%  sqgi     [JIT] tid 725095       [.] 0x0000ffff9c95e4cc


#
# (Cannot load tips.txt file, please install perf!)
#
