# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9734641471
#
# Overhead  Command  Shared Object          Symbol                                           
# ........  .......  .....................  .................................................
#
    23.31%  sqgi     sqgi                   [.] SQVM::Execute
    10.16%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b62164
     6.19%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b61164
     4.55%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b60164
     4.08%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b5f230
     2.34%  sqgi     sqgi                   [.] SQTable::Get
     2.01%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.74%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b5f1c0
     1.08%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b5f244
     1.03%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b5f274
     0.98%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.89%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b6123c
     0.89%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     0.84%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b5f258
     0.80%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b642e0
     0.69%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.66%  sqgi     sqgi                   [.] sqjit_try_execute_current
     0.61%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b65244
     0.56%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b64264
     0.56%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b65224
     0.52%  sqgi     [JIT] tid 724780       [.] 0x0000ffff89b61200
     0.51%  sqgi     libm.so.6              [.] __atan2_finite@GLIBC_2.17


#
# (Cannot load tips.txt file, please install perf!)
#
