# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5467287003
#
# Overhead  Command  Shared Object          Symbol                                         
# ........  .......  .....................  ...............................................
#
    23.66%  sqgi     sqgi                   [.] SQVM::Execute
     5.00%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)1, false>
     3.75%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, false>
     3.59%  sqgi     sqgi                   [.] SQJitWriteLog::CanReleaseInContext
     2.83%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.58%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     2.42%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)21, false>
     2.42%  sqgi     sqgi                   [.] SQVM::ObjCmp
     2.41%  sqgi     sqgi                   [.] sqjit_try_execute_current
     2.25%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)8, false>
     2.17%  sqgi     sqgi                   [.] SQVM::Return
     2.09%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     2.08%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     1.88%  sqgi     sqgi                   [.] sqjit_try_execute_current_loop
     1.83%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.50%  sqgi     sqgi                   [.] SQVM::IsFalse
     1.33%  sqgi     sqgi                   [.] SQVM::LeaveFrame
     1.33%  sqgi     sqgi                   [.] SQVM::StartCall
     1.25%  sqgi     sqgi                   [.] SQTable::Get
     1.08%  sqgi     [JIT] tid 724972       [.] 0x0000ffffb43a82f8
     1.00%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)6, false>
     0.92%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.92%  sqgi     sqgi                   [.] sqjit_try_execute_closure
     0.83%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)15, false>
     0.83%  sqgi     [JIT] tid 724972       [.] 0x0000ffffb43aacc8
     0.75%  sqgi     sqgi                   [.] SQVM::CMP_OP
     0.67%  sqgi     [JIT] tid 724972       [.] 0x0000ffffb43aacec
     0.67%  sqgi     sqgi                   [.] sqjit_loop_header_is_rejected
     0.66%  sqgi     sqgi                   [.] sqjit_on_function_enter
     0.58%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     0.58%  sqgi     sqgi                   [.] SQVM::IsEqual
     0.58%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)2, false>
     0.58%  sqgi     [JIT] tid 724972       [.] 0x0000ffffb43a85c0
     0.50%  sqgi     [JIT] tid 724972       [.] 0x0000ffffb43aacd4
     0.50%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)29, false>


#
# (Cannot load tips.txt file, please install perf!)
#
