# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 7503613367
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    49.88%  sqgi     sqgi                          [.] SQVM::Execute
     6.01%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.20%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     2.80%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     2.80%  sqgi     sqgi                          [.] SQVM::Return
     2.49%  sqgi     sqgi                          [.] SQVM::StartCall
     2.42%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.88%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.76%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.22%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.97%  sqgi     [JIT] tid 725038              [.] 0x0000ffffb19fb2b0
     0.91%  sqgi     sqgi                          [.] SQVM::EnterFrame
     0.85%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.78%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.67%  sqgi     [JIT] tid 725038              [.] 0x0000ffffb19fa5fc
     0.67%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.67%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.67%  sqgi     [JIT] tid 725038              [.] 0x0000ffffb19fa3b4
     0.67%  sqgi     libc.so.6                     [.] __memset_zva64
     0.55%  sqgi     [JIT] tid 725038              [.] 0x0000ffffb19fa168


#
# (Cannot load tips.txt file, please install perf!)
#
