# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 881  of event 'cycles:u'
# Event count (approx.): 3933333675
#
# Overhead  Command  Shared Object                 Symbol                                        
# ........  .......  ............................  ..............................................
#
    10.73%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     2.40%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.97%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94c7c
     1.74%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e956c0
     1.71%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94498
     1.51%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9436c
     1.51%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9476c
     1.39%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e944e4
     1.28%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94750
     1.28%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9511c
     1.28%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e959f4
     1.28%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e949a0
     1.27%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e951cc
     1.27%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e953c0
     1.16%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e948dc
     1.15%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95228
     1.04%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9453c
     1.04%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95a80
     1.04%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e951e8
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95a90
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9441c
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e945f4
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94c80
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e946bc
     0.93%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95340
     0.92%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9417c
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e951d8
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e948ec
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e955e4
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94c14
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e954a0
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95aac
     0.81%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94e14
     0.79%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95ab4
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94dd0
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94850
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9548c
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e950c8
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94368
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e956b8
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95130
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95124
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95a2c
     0.70%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9529c
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e954bc
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e944f4
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e955e8
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95508
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9535c
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94ddc
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94480
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94c1c
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94b90
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e947c0
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e951d4
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94b78
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e95204
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e94ec8
     0.58%  sqgi     [JIT] tid 725015              [.] 0x0000ffff87e9473c


#
# (Cannot load tips.txt file, please install perf!)
#
