# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 214  of event 'cycles:u'
# Event count (approx.): 871647961
#
# Overhead  Command  Shared Object          Symbol                                                
# ........  .......  .....................  ......................................................
#
    15.37%  sqgi     sqgi                   [.] SQJitWriteLog::RecordMember
    13.39%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
    12.03%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_integer_logged
    10.62%  sqgi     sqgi                   [.] sqjit_a64_helper_member_closure_guard
     9.41%  sqgi     sqgi                   [.] sqjit_a64_helper_member_set_reference_logged
     7.36%  sqgi     sqgi                   [.] SQJitWriteLog::CanRelease
     5.75%  sqgi     sqgi                   [.] sqjit_a64_resolve_root_store_slot
     2.62%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81431c0
     2.61%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8144280
     2.09%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81441ac
     1.61%  sqgi     sqgi                   [.] sqjit_a64_helper_instance_field_set_integer_logged
     1.57%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8145174
     1.05%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb814320c
     1.05%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81451b0
     1.05%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8143224
     1.05%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8143194
     1.05%  sqgi     sqgi                   [.] SQJitWriteLog::OwnerBucket
     0.94%  sqgi     sqgi                   [.] sqjit_write_log_ensure
     0.52%  sqgi     libc.so.6              [.] cfree@GLIBC_2.17
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8145228
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81451dc
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8144240
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8144250
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb814317c
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8146254
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8143178
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8145200
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81441e0
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8144268
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8146214
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb81461b0
     0.52%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8146150
     0.50%  sqgi     [JIT] tid 724944       [.] 0x0000ffffb8146130


#
# (Cannot load tips.txt file, please install perf!)
#
