# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 548  of event 'cycles:u'
# Event count (approx.): 2387611958
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                 
# ........  .......  ............................  .......................................................................................................................................................................................................
#
    15.76%  sqgi     sqgi                          [.] SQVM::Execute
    13.80%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     5.38%  sqgi     sqgi                          [.] sqjit_a64_helper_array_get_object
     5.05%  sqgi     sqgi                          [.] sqjit_a64_root_fallback_safe
     4.39%  sqgi     sqgi                          [.] SQTable::Get
     4.15%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     3.17%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     3.01%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
     1.90%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0481d4
     1.72%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.72%  sqgi     sqgi                          [.] SQVM::Get
     1.72%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     1.72%  sqgi     sqgi                          [.] SQVM::DerefInc
     1.47%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0482dc
     1.33%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0451a0
     1.14%  sqgi     sqgi                          [.] SQTable::Set
     0.95%  sqgi     sqgi                          [.] SQVM::Set
     0.93%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e045214
     0.92%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0453b0
     0.76%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0452ac
     0.76%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.76%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e047354
     0.76%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0462cc
     0.76%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e048220
     0.76%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e04536c
     0.69%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e048238
     0.57%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0454c0
     0.57%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e04550c
     0.57%  sqgi     sqgi                          [.] SQVM::ObjCmp
     0.57%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.57%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e04635c
     0.57%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.57%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e045224
     0.56%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e045754
     0.56%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e048140
     0.54%  sqgi     [JIT] tid 659368              [.] 0x0000ffff9e0451f8


#
# (Cannot load tips.txt file, please install perf!)
#
