# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 182  of event 'cycles:u'
# Event count (approx.): 744956466
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................
#
     7.96%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99621164
     6.73%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996241e4
     6.13%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625764
     5.52%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625690
     5.52%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625414
     4.84%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626244
     4.29%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996255bc
     3.82%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99627164
     3.68%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962590c
     3.68%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996254e8
     3.68%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99623198
     3.06%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625838
     2.45%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99622164
     1.84%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99623154
     1.84%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996222a0
     1.81%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996263ec
     1.23%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962540c
     1.23%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99623348
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996242c0
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962637c
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99623148
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996221e0
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996242d8
     1.22%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626360
     1.21%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626464
     1.21%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962638c
     0.67%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99627184
     0.61%  sqgi     sqgi                          [.] std::vector<SQBytecodeFacts, std::allocator<SQBytecodeFacts> >::_M_default_append
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625710
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625370
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996221c0
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625784
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962538c
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962561c
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff9962332c
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626320
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626284
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996232ec
     0.61%  sqgi     libc.so.6                     [.] _int_free_create_chunk
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996231ec
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996256b0
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625494
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99622274
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996252d0
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99622294
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996261d4
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996232cc
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996255dc
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996257c4
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99624188
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99621220
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626380
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99625434
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff99626264
     0.61%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996264c4
     0.57%  sqgi     sqgi                          [.] std::vector<SQJitObjectPlan::Impl::Value, std::allocator<SQJitObjectPlan::Impl::Value> >::emplace_back<SQJitObjectPlan::Impl::Value>
     0.54%  sqgi     [JIT] tid 659634              [.] 0x0000ffff996271e0


#
# (Cannot load tips.txt file, please install perf!)
#
