# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 9981074961
#
# Overhead  Command  Shared Object          Symbol                                                                               
# ........  .......  .....................  .....................................................................................
#
    22.23%  sqgi     sqgi                   [.] SQVM::Execute
     9.74%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa7164
     6.32%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa6164
     4.85%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa5164
     3.29%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa4230
     2.42%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa4244
     2.24%  sqgi     sqgi                   [.] SQTable::Get
     1.83%  sqgi     sqgi                   [.] sqjit_a64_borrow_member_ptr_value
     1.46%  sqgi     sqgi                   [.] sqjit_number_conversion_guard
     1.37%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa41c0
     1.23%  sqgi     libm.so.6              [.] pow@@GLIBC_2.29
     1.05%  sqgi     sqgi                   [.] sqjit_a64_helper_member_native_closure_guard
     0.87%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     0.87%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa4274
     0.78%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa92e0
     0.78%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa4258
     0.78%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daaa244
     0.72%  sqgi     sqgi                   [.] SQJitWriteLog::RecordArray
     0.64%  sqgi     sqgi                   [.] SQVM::ObjCmp
     0.64%  sqgi     sqgi                   [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     0.60%  sqgi     [JIT] tid 659267       [.] 0x0000ffff9daa623c
     0.55%  sqgi     sqgi                   [.] SQJitWriteLog::Contains
     0.55%  sqgi     sqgi                   [.] sqjit_try_execute_current


#
# (Cannot load tips.txt file, please install perf!)
#
