# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 5959113684
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                  
# ........  .......  ............................  ........................................................................................................................................
#
    59.90%  sqgi     sqgi                          [.] SQVM::Execute
     3.10%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, false>
     2.99%  sqgi     sqgi                          [.] sqjit_try_execute_current
     2.91%  sqgi     sqgi                          [.] SQTable::Get
     2.60%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.53%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     1.84%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.61%  sqgi     sqgi                          [.] sqjit_number_conversion_guard
     1.22%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     1.15%  sqgi     sqgi                          [.] SQVM::Return
     1.15%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     0.92%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.92%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.77%  sqgi     sqgi                          [.] SQVM::Get
     0.77%  sqgi     sqgi                          [.] SQVM::StartCall
     0.77%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.77%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     0.69%  sqgi     sqgi                          [.] SQVM::FallBackGet
     0.61%  sqgi     [JIT] tid 659448              [.] 0x0000ffffa26e5684
     0.61%  sqgi     sqgi                          [.] sqjit_a64_helper_array_set_float_logged
     0.54%  sqgi     sqgi                          [.] sqjit_native_precheck
     0.54%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>


#
# (Cannot load tips.txt file, please install perf!)
#
