# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 8022679618
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    45.90%  sqgi     sqgi                          [.] SQVM::Execute
     8.02%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)13, true>
     5.75%  sqgi     sqgi                          [.] sqjit_try_execute_current
     3.53%  sqgi     sqgi                          [.] sqjit_try_execute_current_loop
     3.18%  sqgi     sqgi                          [.] SQVM::StartCall
     2.56%  sqgi     sqgi                          [.] SQVM::Return
     2.53%  sqgi     sqgi                          [.] sqjit_try_execute_closure
     2.50%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)9, true>
     2.28%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)14, true>
     1.99%  sqgi     sqgi                          [.] SQVM::LeaveFrame
     1.93%  sqgi     sqgi                          [.] SQVM::ObjCmp
     1.48%  sqgi     sqgi                          [.] sqjit_on_function_enter
     1.25%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.25%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)23, false>
     0.97%  sqgi     libc.so.6                     [.] __memset_zva64
     0.91%  sqgi     sqgi                          [.] sqjit_native_call_fits_stack
     0.85%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     0.80%  sqgi     sqgi                          [.] SQVM::IsFalse
     0.80%  sqgi     sqgi                          [.] SQVM::CMP_OP
     0.80%  sqgi     sqgi                          [.] sqjit_context
     0.68%  sqgi     sqgi                          [.] sqjit_loop_header_is_rejected
     0.57%  sqgi     sqgi                          [.] sqjit_proto_backoff_active
     0.57%  sqgi     sqgi                          [.] sqjit_native_precheck


#
# (Cannot load tips.txt file, please install perf!)
#
