# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 4535989543
#
# Overhead  Command  Shared Object                 Symbol                                         
# ........  .......  ............................  ...............................................
#
    13.75%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)39, false>
     9.75%  sqgi     sqgi                          [.] sqjit_a64_precise_step<(SQOpcode)4, false>
     4.72%  sqgi     sqgi                          [.] SQJitWriteLog::CanReleaseInContext
     1.61%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928a80
     1.51%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928340
     1.41%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928124
     1.31%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927498
     1.31%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59281e8
     1.11%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592776c
     1.11%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927258
     1.11%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592736c
     1.11%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59286c0
     1.11%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927c14
     1.01%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927c7c
     1.01%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928204
     1.00%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59283c0
     0.91%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59274a8
     0.91%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927ddc
     0.91%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59273cc
     0.91%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59274e4
     0.89%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592848c
     0.85%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59272b0
     0.81%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927750
     0.81%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59278dc
     0.81%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928a2c
     0.81%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928610
     0.81%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592811c
     0.71%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59279a0
     0.70%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59285e4
     0.70%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927268
     0.70%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927248
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59275fc
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59284a0
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927614
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59281d4
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927d44
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927ec8
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592753c
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927c1c
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59289c0
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928188
     0.60%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928130
     0.56%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927470
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927b44
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928acc
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59276bc
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927f88
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928630
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927194
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927d3c
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928350
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927cb8
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5927eb4
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59281cc
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb5928228
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59284bc
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb592741c
     0.50%  sqgi     [JIT] tid 659511              [.] 0x0000ffffb59277c0


#
# (Cannot load tips.txt file, please install perf!)
#
