# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 220  of event 'cycles:u'
# Event count (approx.): 876638440
#
# Overhead  Command  Shared Object                 Symbol                                                
# ........  .......  ............................  ......................................................
#
    15.01%  sqgi     sqgi                          [.] sqjit_a64_borrow_member_ptr_value
    11.62%  sqgi     sqgi                          [.] SQJitWriteLog::CanRelease
     9.89%  sqgi     sqgi                          [.] sqjit_a64_resolve_root_store_slot
     8.76%  sqgi     sqgi                          [.] sqjit_a64_helper_member_closure_guard
     8.75%  sqgi     sqgi                          [.] SQJitWriteLog::RecordMember
     8.33%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_integer_logged
     6.76%  sqgi     sqgi                          [.] sqjit_a64_helper_member_set_reference_logged
     3.43%  sqgi     sqgi                          [.] sqjit_a64_helper_instance_field_set_integer_logged
     3.12%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d41c0
     2.08%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d61dc
     1.56%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d518c
     1.43%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d7214
     1.04%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d6228
     1.04%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d5268
     1.04%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d5174
     1.04%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d51ac
     0.87%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d71b0
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d5200
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d5194
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d71d0
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d5240
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d525c
     0.52%  sqgi     libffi.so.8.1.4               [.] 0x00000000000021d4
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d420c
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d51bc
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d61b0
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d6220
     0.52%  sqgi     sqgi                          [.] SQJitWriteLog::OwnerBucket
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d4194
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d41a8
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d4200
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d7174
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d51e0
     0.52%  sqgi     libgirepository-1.0.so.1.0.0  [.] 0x00000000000196b4
     0.52%  sqgi     sqgi                          [.] sqjit_a64_instruction_slots_valid
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d6210
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d4140
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d511c
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d6248
     0.52%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d51dc
     0.51%  sqgi     [JIT] tid 659424              [.] 0x0000ffffa19d71f0


#
# (Cannot load tips.txt file, please install perf!)
#
